"","Date","Actuals","XGBoost","RandomForest","Prediction_Average","DHR","TBATS","Prophet","Prophet_Regressor"
"1",2019-07-01,1059,1059,1059,1059,1059,1059,1059,1059
"2",2019-07-02,921,921,921,921,921,921,921,921
"3",2019-07-03,734,734,734,734,734,734,734,734
"4",2019-07-04,1047,1047,1047,1047,1047,1047,1047,1047
"5",2019-07-05,1126,1126,1126,1126,1126,1126,1126,1126
"6",2019-07-06,1283,1283,1283,1283,1283,1283,1283,1283
"7",2019-07-07,1263,1263,1263,1263,1263,1263,1263,1263
"8",2019-07-08,958,958,958,958,958,958,958,958
"9",2019-07-09,887,887,887,887,887,887,887,887
"10",2019-07-10,712,712,712,712,712,712,712,712
"11",2019-07-11,614,614,614,614,614,614,614,614
"12",2019-07-12,777,777,777,777,777,777,777,777
"13",2019-07-13,967,967,967,967,967,967,967,967
"14",2019-07-14,1045,1045,1045,1045,1045,1045,1045,1045
"15",2019-07-15,988,988,988,988,988,988,988,988
"16",2019-07-16,877,877,877,877,877,877,877,877
"17",2019-07-17,703,703,703,703,703,703,703,703
"18",2019-07-18,705,705,705,705,705,705,705,705
"19",2019-07-19,774,774,774,774,774,774,774,774
"20",2019-07-20,1105,1105,1105,1105,1105,1105,1105,1105
"21",2019-07-21,1051,1051,1051,1051,1051,1051,1051,1051
"22",2019-07-22,838,838,838,838,838,838,838,838
"23",2019-07-23,867,867,867,867,867,867,867,867
"24",2019-07-24,812,812,812,812,812,812,812,812
"25",2019-07-25,1106,1106,1106,1106,1106,1106,1106,1106
"26",2019-07-26,965,965,965,965,965,965,965,965
"27",2019-07-27,966,966,966,966,966,966,966,966
"28",2019-07-28,996,996,996,996,996,996,996,996
"29",2019-07-29,695,695,695,695,695,695,695,695
"30",2019-07-30,803,803,803,803,803,803,803,803
"31",2019-07-31,727,727,727,727,727,727,727,727
"32",2019-08-01,999,986,917,952,807.843660174476,767.523431878709,977,976
"33",2019-08-02,1102,885,871,878,893.256926001348,706.91471438496,939,940
"34",2019-08-03,1269,1045,1004,1024,938.267029486833,932.240554929614,1109,1115
"35",2019-08-04,920,909,898,904,952.666743603264,865.85957273314,1028,1027
"36",2019-08-05,1068,870,875,872,898.522884385642,789.532100380719,949,940
"37",2019-08-06,798,742,845,794,841.725073737482,685.497106732698,878,867
"38",2019-08-07,713,822,832,827,802.007209767529,714.688574331064,884,866
"39",2019-08-08,828,866,853,860,821.015170812916,695.429497453656,861,856
"40",2019-08-09,832,806,852,829,863.397034735535,647.750923882286,814,811
"41",2019-08-10,1186,1101,1024,1062,899.364594222636,845.237567307574,974,977
"42",2019-08-11,869,879,844,862,881.682773608228,781.933221465762,886,882
"43",2019-08-12,773,826,867,846,818.997408663856,706.123324230788,800,788
"44",2019-08-13,851,758,764,761,738.777688581037,605.00324254025,722,710
"45",2019-08-14,671,845,760,802,692.139130355705,622.090067941372,723,704
"46",2019-08-15,584,657,740,698,694.838808563097,597.118782687736,698,691
"47",2019-08-16,701,706,747,726,732.661124611203,549.509002293302,647,645
"48",2019-08-17,672,756,835,796,758.364929844122,711.636236653116,807,811
"49",2019-08-18,448,635,632,634,738.94076674761,654.406092485862,719,716
"50",2019-08-19,498,617,742,680,671.256464710808,589.452999930234,635,624
"51",2019-08-20,607,563,646,604,592.341728991666,505.421527550053,561,550
"52",2019-08-21,583,500,674,587,545.348193657677,522.388258914623,566,550
"53",2019-08-22,578,522,583,552,552.441013951356,505.38931805879,547,543
"54",2019-08-23,468,468,600,534,594.00119868227,469.944966669116,504,505
"55",2019-08-24,727,815,763,789,627.062806668711,617.265263645854,672,680
"56",2019-08-25,498,538,560,549,614.929598462235,575.828440207799,595,596
"57",2019-08-26,484,445,480,462,557.299711060367,526.878347714875,521,516
"58",2019-08-27,383,405,567,486,488.665461175602,459.334150387508,459,454
"59",2019-08-28,347,454,457,456,454.029008111719,483.297929228323,478,467
"60",2019-08-29,392,455,491,473,473.78719281178,476.072706215354,472,474
"61",2019-08-30,934,640,706,673,529.507182774641,450.772884471424,1033,1044
"62",2019-08-31,589,661,753,707,576.969786315771,603.04018257082,704,737
